player_id,player
1,Al Brightman
2,Al Lujack
3,Al Negratti
4,Angelo Musi
5,Ariel Maughan
6,Armand Cure
7,Art Hillhouse
8,Art Spector
9,Art Stolkey
10,Aubrey Davis
11,Aud Brindley
12,Belus Smawley
13,Ben Goldfaden
14,Ben Scharnus
15,Bill Davis
16,Bob Cluggish
17,Bob Dille
18,Bob Doll
19,Bob Duffy
20,Bob Faught
21,Bob Feerick
22,Bob Fitzgerald
23,Bob Gantt
24,Bob Mullens
25,Bob Rensberger
26,Bob Shea
27,Bones McKinney
28,Buck Sydnor
29,Bud Palmer
30,Buddy O'Grady
31,Butch van Breda Kolff
32,Cecil Hankins
33,Charlie Hoefer
34,Chet Aubuchon
35,Chet Carlisle
36,Chick Halbert
37,Chuck Connors
38,Chuck Gilmur
39,Connie Simmons
40,Coulby Gunther
41,Deb Smith
42,Dick Fitzgerald
43,Dick Murphy
44,Dick Schulz
45,Dino Martin
46,Don Carlson
47,Don Eliason
48,Don Martin
49,Don Putman
50,Doyle Parrack
51,Earl Shannon
52,Ed Kasid
53,Ed Melvin
54,Ed Sadowski
55,Elmore Morgenthaler
56,Ernie Calverley
57,Frank Fucarino
58,Frank Mangiapane
59,Frankie Baumholtz
60,Fred Jacobs
61,Fred Scolari
62,Fred Sheffield
63,Frido Frey
64,Garland O'Shields
65,Gene Gallette
66,George Mearns
67,George Munroe
68,George Nostrand
69,George Pastushok
70,George Pearcy
71,George Senesky
72,Giff Roux
73,Gino Sovran
74,Gorham Getchell
75,Grady Lewis
76,Hal Crisler
77,Hank Beenders
78,Hank Biasatti
79,Hank Lefkowitz
80,Hank Rosenstein
81,Harold Brown
82,Harold Johnson
83,Harold Kottman
84,Harry Miller
85,Harry Zeller
86,Henry Pearcy
87,Herschel Baltimore
88,Howie Dallmar
89,Howie McCarty
90,Irv Rothenberg
91,Irv Torgoff
92,Jack Garfinkel
93,Jake Weber
94,Jerry Fleishman
95,Jerry Kelly
96,Jerry Rullo
97,Jim Seminoff
98,Joe Fabel
99,Joe Fulks
100,John Abramovic
101,John Barr
102,John Janisch
103,John Logan
104,John Mahnken
105,John Mills
106,John Murphy
107,Johnny Norlander
108,Johnny Simmons
109,Ken Corley
110,Ken Keller
111,Kenny Sailors
112,Kleggie Hermsen
113,Lee Knorek
114,Leo Gottlieb
115,Leo Mogus
116,Leon Brown
117,Lou Spicer
118,Marty Passaglia
119,Matt Guokas
120,Max Zaslofsky
